algo,host,iter,seed,n,avgDeg,alpha,PLE,T,R,TimeTotal,TimePoints,TimePrepro,TimeEdges,GenNumEdge,GenAvgDeg
hypergirgs,gluten,0,1280,46415888,100,1,3,0.5,28.8686,40224.7,1057.91,1564.99,37436.6,2320944920,100.006
hypergirgs,gluten,0,1290,21544,1000,1,3,0.5,8.91278,191.899,1.48877,27.0651,163.334,10114927,939.002
hypergirgs,gluten,0,1300,46415,1000,1,3,0.5,10.4478,348.286,0.996297,4.28878,342.741,23006988,991.36
hypergirgs,gluten,0,1310,100000,1000,1,3,0.5,11.9829,773.559,1.46479,8.86665,763.214,49255941,985.119
hypergirgs,gluten,0,1320,215443,1000,1,3,0.5,13.518,1680.4,2.19059,22.0908,1656.1,107666772,999.492
hypergirgs,gluten,0,1330,464158,1000,1,3,0.5,15.053,3638.01,9.14459,46.8289,3582.01,231187057,996.157
hypergirgs,gluten,0,1340,1000000,1000,1,3,0.5,16.5881,7765.69,18.5363,71.8031,7671.4,498252171,996.504
hypergirgs,gluten,0,1350,2154434,1000,1,3,0.5,18.1232,16795.7,46.0609,115.316,16620.5,1073779894,996.809
hypergirgs,gluten,0,1360,4641588,1000,1,3,0.5,19.6582,36603.7,158.031,236.566,36196.4,2315492769,997.716
hypergirgs,gluten,0,1370,10000000,1000,1,3,0.5,21.1933,78531,290.154,436.305,77754.4,5003145698,1000.63
hypergirgs,gluten,0,1380,21544346,1000,1,3,0.5,22.7283,168914,539.88,817.483,167463,10782799577,1000.99
hypergirgs,gluten,0,1400,10000,10,0.6,2.2,0.9,24.5068,58.2242,1.09492,41.008,16.0908,19690,3.938
hypergirgs,gluten,0,1410,21544,10,0.6,2.2,0.9,26.0419,66.5185,1.42079,39.0443,26.0176,40023,3.71547
hypergirgs,gluten,0,1420,46415,10,0.6,2.2,0.9,27.5769,104.014,1.28597,36.823,65.8686,92032,3.96561
hypergirgs,gluten,0,1430,100000,10,0.6,2.2,0.9,29.112,175.189,2.13065,50.1195,122.884,250563,5.01126
hypergirgs,gluten,0,1440,215443,10,0.6,2.2,0.9,30.6471,348.696,2.41968,115.666,227.778,566690,5.2607
hypergirgs,gluten,0,1450,464158,10,0.6,2.2,0.9,32.1821,560.523,8.16973,134.994,413.17,1257872,5.42002
hypergirgs,gluten,0,1460,1000000,10,0.6,2.2,0.9,33.7172,1070.45,16.2277,189.141,854.919,2572982,5.14596
hypergirgs,gluten,0,1470,2154434,10,0.6,2.2,0.9,35.2522,2066.51,26.9,305.852,1710.4,5925926,5.50114
hypergirgs,gluten,0,1480,4641588,10,0.6,2.2,0.9,36.7873,4514.18,120.668,681.835,3666.19,13497335,5.81583
hypergirgs,gluten,0,1490,10000000,10,0.6,2.2,0.9,38.3224,9144,243.288,1299.24,7515.53,30426201,6.08524
hypergirgs,gluten,0,1500,21544346,10,0.6,2.2,0.9,39.8574,22943.6,530.815,3040.06,19163.1,67386530,6.25561
hypergirgs,gluten,0,1510,46415888,10,0.6,2.2,0.9,41.3925,40435.8,1050.01,5020.4,33999.6,151435171,6.52514
hypergirgs,gluten,0,1520,10000,100,0.6,2.2,0.9,19.9017,51.2109,0.851296,37.6061,12.7342,122778,24.5556
hypergirgs,gluten,0,1530,21544,100,0.6,2.2,0.9,21.4367,62.3284,4.82666,41.0289,16.4471,300344,27.8819
hypergirgs,gluten,0,1540,46415,100,0.6,2.2,0.9,22.9717,65.0809,3.72389,36.679,24.6503,732169,31.5488
hypergirgs,gluten,0,1550,100000,100,0.6,2.2,0.9,24.5068,79.753,1.38381,26.4749,51.8642,1661948,33.239
hypergirgs,gluten,0,1560,215443,100,0.6,2.2,0.9,26.0419,155.047,2.12028,35.4023,117.485,4010123,37.2268
hypergirgs,gluten,0,1570,464158,100,0.6,2.2,0.9,27.5769,340.724,4.74181,49.0102,286.89,10188739,43.902
hypergirgs,gluten,0,1580,1000000,100,0.6,2.2,0.9,29.112,766.393,10.7421,87.4338,665.367,22498505,44.997
hypergirgs,gluten,0,1590,2154434,100,0.6,2.2,0.9,30.6471,1727.42,41.2383,150.087,1525.1,51590870,47.8927
hypergirgs,gluten,0,1600,4641588,100,0.6,2.2,0.9,32.1821,3913.04,127.865,311.008,3458.02,118647584,51.1237
hypergirgs,gluten,0,1610,10000000,100,0.6,2.2,0.9,33.7172,8882.67,294.776,594.87,7960.71,275192654,55.0385
hypergirgs,gluten,0,1620,21544346,100,0.6,2.2,0.9,35.2522,19838,497.833,1096.88,18179.1,610643692,56.6871
hypergirgs,gluten,0,1630,46415888,100,0.6,2.2,0.9,36.7873,44673.9,1061.43,2199.11,41282,1368025429,58.9464
hypergirgs,gluten,0,1640,21544,1000,0.6,2.2,0.9,16.8315,95.2397,1.39947,44.7817,49.0345,2109979,195.876
hypergirgs,gluten,0,1650,46415,1000,0.6,2.2,0.9,18.3666,114.175,1.28727,14.5256,98.3383,5527765,238.189
hypergirgs,gluten,0,1660,100000,1000,0.6,2.2,0.9,19.9017,264.974,1.53552,26.7319,236.614,12954329,259.087
hypergirgs,gluten,0,1670,215443,1000,0.6,2.2,0.9,21.4367,597.977,2.67454,38.4346,556.84,30902351,286.873
hypergirgs,gluten,0,1680,464158,1000,0.6,2.2,0.9,22.9718,1434.55,5.53483,54.9299,1374.03,76365003,329.047
hypergirgs,gluten,0,1690,1000000,1000,0.6,2.2,0.9,24.5068,3444.91,19.2461,86.9074,3335.88,180367639,360.735
hypergirgs,gluten,0,1700,2154434,1000,0.6,2.2,0.9,26.0419,8274.08,41.4605,130.809,8087.72,417557442,387.626
hypergirgs,gluten,0,1710,4641588,1000,0.6,2.2,0.9,27.577,19856,151.24,232.004,19458.5,979308905,421.971
hypergirgs,gluten,0,1720,10000000,1000,0.6,2.2,0.9,29.112,47475.3,251.879,418.7,46754.6,2265110826,453.022
hypergirgs,gluten,0,1730,21544346,1000,0.6,2.2,0.9,30.6471,112601,546.241,830.323,111126,5209902879,483.645
hypergirgs,gluten,0,1750,10000,10,1,3,0.9,20.1124,53.5008,1.16586,41.7624,10.5456,31838,6.3676
hypergirgs,gluten,0,1760,21544,10,1,3,0.9,21.6474,68.4548,4.4993,51.9137,12.0185,71100,6.60045
hypergirgs,gluten,0,1770,46415,10,1,3,0.9,23.1825,57.4177,4.0976,37.8335,15.4624,156455,6.74157
hypergirgs,gluten,0,1780,100000,10,1,3,0.9,24.7176,69.9129,3.47746,24.1359,42.2795,350086,7.00172
hypergirgs,gluten,0,1790,215443,10,1,3,0.9,26.2526,148.072,10.4613,53.5511,84.0298,792328,7.35534
hypergirgs,gluten,0,1800,464158,10,1,3,0.9,27.7877,239.631,5.4159,74.542,159.566,1756101,7.56682
hypergirgs,gluten,0,1810,1000000,10,1,3,0.9,29.3227,405.387,9.83553,90.4648,302.015,3893037,7.78607
hypergirgs,gluten,0,1820,2154434,10,1,3,0.9,30.8578,790.542,27.8281,139.92,611.452,8523906,7.9129
hypergirgs,gluten,0,1830,4641588,10,1,3,0.9,32.3928,1700.63,118.176,309.566,1256.5,18809841,8.10492
hypergirgs,gluten,0,1840,10000000,10,1,3,0.9,33.9279,3514.56,284.865,600.426,2597.18,41437372,8.28747
hypergirgs,gluten,0,1850,21544346,10,1,3,0.9,35.463,7270.99,489.406,1087.41,5628.02,90450784,8.39671
hypergirgs,gluten,0,1860,46415888,10,1,3,0.9,36.998,16116.9,1047.94,2294.25,12597.2,197940952,8.52902
hypergirgs,gluten,0,1870,10000,100,1,3,0.9,15.5072,45.6498,0.847855,31.4715,13.3144,257784,51.5568
hypergirgs,gluten,0,1880,21544,100,1,3,0.9,17.0422,60.6736,1.29032,37.3977,21.9659,598805,55.589
hypergirgs,gluten,0,1890,46415,100,1,3,0.9,18.5773,64.9238,2.29668,28.3687,34.24,1362192,58.6962
hypergirgs,gluten,0,1900,100000,100,1,3,0.9,20.1124,100.238,1.73048,25.4792,73.0041,3146522,62.9304
hypergirgs,gluten,0,1910,215443,100,1,3,0.9,21.6474,190.06,2.07069,24.7795,163.134,7078130,65.7077
hypergirgs,gluten,0,1920,464158,100,1,3,0.9,23.1825,402.42,4.6936,33.5305,364.164,15778616,67.9881
hypergirgs,gluten,0,1930,1000000,100,1,3,0.9,24.7176,918.004,9.45868,70.2914,835.383,35557149,71.1143
hypergirgs,gluten,0,1940,2154434,100,1,3,0.9,26.2526,2035.12,24.9663,83.7283,1917.26,79106987,73.4364
hypergirgs,gluten,0,1950,4641588,100,1,3,0.9,27.7877,4813.92,118.921,237.115,4432.94,175522522,75.6304
hypergirgs,gluten,0,1960,10000000,100,1,3,0.9,29.3227,10757.7,271.272,426.128,10010.5,387472997,77.4946
hypergirgs,gluten,0,1970,21544346,100,1,3,0.9,30.8578,23959.5,557.922,784.115,22523.6,855346478,79.4033
hypergirgs,gluten,0,1980,46415888,100,1,3,0.9,32.3928,53070.9,1055.11,1810.26,50058.1,1881589528,81.0752
